Running single thread with 1 workers
finished   (94-0:0) [] [ '94', '496' ]
finished   (93-1:0) [] [ '93', '496' ]
finished   (496-0:0) [] [ '496', '131' ]
finished   (497-0:0) [] [ '497', '19' ]
finished   (498-0:0) [] [ '498', '499' ]
finished   (500-0:0) [] [ '500', '274' ]
finished   (415-1:0) [] [ '415', '365' ]
finished   (271-2:0) [] [ '271', '125' ]
finished   (501-0:0) [] [ '501', '125' ]
finished   (503-0:0) [] [ '503', '402' ]
finished   (504-0:0) [] [ '504', '188' ]
finished   (505-0:0) [] [ '505', '188' ]
finished   (503-1:0) [] [ '503', '405' ]
finished   (506-0:0) [] [ '506', '76' ]
finished   (507-0:0) [] [ '507', '45' ]
finished   (10-1:0) [] [ '10', '508' ]
finished   (509-0:0) [] [ '509', '76' ]
finished   (510-0:0) [] [ '510', '336' ]
finished   (196-1:0) [] [ '196', '508' ]
finished   (186-1:0) [] [ '186', '508' ]
finished   (511-0:0) [] [ '511', '45' ]
finished   (287-0:0) [] [ '287', '512' ]
finished   (328-1:0) [] [ '328', '513' ]
finished   (301-1:0) [] [ '301', '513' ]
finished   (320-1:0) [] [ '320', '513' ]
finished   (247-0:0) [] [ '247', '514' ]
finished   (503-2:0) [] [ '503', '452' ]
finished   (515-0:0) [] [ '515', '76' ]
finished   (299-1:0) [] [ '299', '516' ]
finished   (148-1:0) [] [ '148', '516' ]
finished   (517-0:0) [] [ '517', '452' ]
finished   (518-0:0) [] [ '518', '45' ]
finished   (519-0:0) [] [ '519', '76' ]
finished   (520-0:0) [] [ '520', '378' ]
finished   (521-0:0) [] [ '521', '96' ]
finished   (522-0:0) [] [ '522', '336' ]
finished   (523-0:0) [] [ '523', '357' ]
